<experiment> rnn on mnist
	class: 6, rate: 97.77%
	class: 7, rate: 97.05%
	class: 8, rate: 95.83%
	class: 9, rate: 94.59%
(test) loss: 1.2510, accuracy: 96.21%
	class: 0, rate: 98.78%
	class: 1, rate: 98.85%
	class: 2, rate: 96.90%
	class: 3, rate: 95.54%
	class: 4, rate: 94.60%
	class: 5, rate: 97.09%
	class: 6, rate: 94.78%
	class: 7, rate: 96.50%
	class: 8, rate: 94.25%
	class: 9, rate: 94.45%
[progress] epoch: 17
(train) loss: 6.7996, accuracy: 96.64%
	class: 0, rate: 98.28%
	class: 1, rate: 97.95%
	class: 2, rate: 96.71%
	class: 3, rate: 95.22%
	class: 4, rate: 96.22%
	class: 5, rate: 95.96%
	class: 6, rate: 97.77%
	class: 7, rate: 97.59%
	class: 8, rate: 95.71%
	class: 9, rate: 94.76%
(test) loss: 1.1953, accuracy: 96.53%
	class: 0, rate: 98.47%
	class: 1, rate: 98.41%
	class: 2, rate: 97.09%
	class: 3, rate: 97.33%
	class: 4, rate: 96.84%
	class: 5, rate: 96.41%
	class: 6, rate: 96.87%
	class: 7, rate: 94.65%
	class: 8, rate: 96.20%
	class: 9, rate: 92.86%
[progress] epoch: 18
(train) loss: 7.2231, accuracy: 96.43%
	class: 0, rate: 98.16%
	class: 1, rate: 97.91%
	class: 2, rate: 96.66%
	class: 3, rate: 95.03%
	class: 4, rate: 96.25%
	class: 5, rate: 95.19%
	class: 6, rate: 97.79%
	class: 7, rate: 97.32%
	class: 8, rate: 95.28%
	class: 9, rate: 94.42%
(test) loss: 1.1649, accuracy: 96.54%
	class: 0, rate: 98.47%
	class: 1, rate: 98.41%
	class: 2, rate: 94.48%
	class: 3, rate: 94.65%
	class: 4, rate: 96.95%
	class: 5, rate: 97.76%
	class: 6, rate: 97.60%
	class: 7, rate: 96.98%
	class: 8, rate: 95.69%
	class: 9, rate: 94.45%
[progress] epoch: 19
(train) loss: 6.5373, accuracy: 96.78%
	class: 0, rate: 98.53%
	class: 1, rate: 98.04%
	class: 2, rate: 96.89%
	class: 3, rate: 95.47%
	class: 4, rate: 96.15%
	class: 5, rate: 96.18%
	class: 6, rate: 97.79%
	class: 7, rate: 97.33%
	class: 8, rate: 96.34%
	class: 9, rate: 94.81%
(test) loss: 1.1675, accuracy: 96.54%
	class: 0, rate: 98.67%
	class: 1, rate: 97.18%
	class: 2, rate: 96.51%
	class: 3, rate: 95.54%
	class: 4, rate: 95.52%
	class: 5, rate: 98.32%
	class: 6, rate: 96.14%
	class: 7, rate: 96.50%
	class: 8, rate: 95.89%
	class: 9, rate: 95.24%
[progress] epoch: 20
(train) loss: 6.0598, accuracy: 97.00%
	class: 0, rate: 98.58%
	class: 1, rate: 98.04%
	class: 2, rate: 96.95%
	class: 3, rate: 95.78%
	class: 4, rate: 96.64%
	class: 5, rate: 96.48%
	class: 6, rate: 98.24%
	class: 7, rate: 97.72%
	class: 8, rate: 96.22%
	class: 9, rate: 95.19%
(test) loss: 1.1705, accuracy: 96.48%
	class: 0, rate: 98.67%
	class: 1, rate: 98.68%
	class: 2, rate: 96.12%
	class: 3, rate: 95.35%
	class: 4, rate: 96.33%
	class: 5, rate: 97.98%
	class: 6, rate: 96.03%
	class: 7, rate: 97.18%
	class: 8, rate: 93.12%
	class: 9, rate: 95.14%
[progress] epoch: 21
(train) loss: 5.5077, accuracy: 97.31%
	class: 0, rate: 98.50%
	class: 1, rate: 98.29%
	class: 2, rate: 97.28%
	class: 3, rate: 96.20%
	class: 4, rate: 96.88%
	class: 5, rate: 97.23%
	class: 6, rate: 98.26%
	class: 7, rate: 97.80%
	class: 8, rate: 96.62%
	class: 9, rate: 95.90%
(test) loss: 1.0064, accuracy: 97.09%
	class: 0, rate: 98.88%
	class: 1, rate: 98.94%
	class: 2, rate: 97.19%
	class: 3, rate: 96.83%
	class: 4, rate: 95.93%
	class: 5, rate: 96.41%
	class: 6, rate: 96.35%
	class: 7, rate: 97.76%
	class: 8, rate: 96.61%
	class: 9, rate: 95.64%
[progress] epoch: 22
(train) loss: 5.1667, accuracy: 97.43%
	class: 0, rate: 98.84%
	class: 1, rate: 98.29%
	class: 2, rate: 97.38%
	class: 3, rate: 96.43%
	class: 4, rate: 97.14%
	class: 5, rate: 97.10%
	class: 6, rate: 98.23%
	class: 7, rate: 97.83%
	class: 8, rate: 96.97%
	class: 9, rate: 95.95%
(test) loss: 0.9677, accuracy: 97.24%
	class: 0, rate: 98.78%
	class: 1, rate: 98.77%
	class: 2, rate: 97.77%
	class: 3, rate: 96.83%
	class: 4, rate: 97.45%
	class: 5, rate: 94.73%
	class: 6, rate: 98.02%
	class: 7, rate: 97.57%
	class: 8, rate: 97.13%
	class: 9, rate: 94.95%
[progress] epoch: 23
(train) loss: 5.2789, accuracy: 97.32%
	class: 0, rate: 98.89%
	class: 1, rate: 98.28%
	class: 2, rate: 97.38%
	class: 3, rate: 96.18%
	class: 4, rate: 96.99%
	class: 5, rate: 96.94%
	class: 6, rate: 98.28%
	class: 7, rate: 97.69%
	class: 8, rate: 96.82%
	class: 9, rate: 95.66%
(test) loss: 0.9556, accuracy: 97.26%
	class: 0, rate: 98.67%
	class: 1, rate: 98.68%
	class: 2, rate: 97.29%
	class: 3, rate: 96.44%
	class: 4, rate: 97.05%
	class: 5, rate: 96.52%
	class: 6, rate: 98.23%
	class: 7, rate: 97.67%
	class: 8, rate: 96.41%
	class: 9, rate: 95.44%
[progress] epoch: 24
(train) loss: 4.8566, accuracy: 97.54%
	class: 0, rate: 98.65%
	class: 1, rate: 98.26%
	class: 2, rate: 97.53%
	class: 3, rate: 96.56%
	class: 4, rate: 97.18%
	class: 5, rate: 97.31%
	class: 6, rate: 98.53%
	class: 7, rate: 97.99%
	class: 8, rate: 97.18%
	class: 9, rate: 96.08%
(test) loss: 1.0217, accuracy: 97.09%
	class: 0, rate: 98.78%
	class: 1, rate: 99.03%
	class: 2, rate: 97.58%
	class: 3, rate: 96.44%
	class: 4, rate: 98.17%
	class: 5, rate: 95.07%
	class: 6, rate: 97.49%
	class: 7, rate: 97.57%
	class: 8, rate: 94.87%
	class: 9, rate: 95.44%
[progress] epoch: 25
(train) loss: 4.7055, accuracy: 97.63%
	class: 0, rate: 98.89%
	class: 1, rate: 98.40%
	class: 2, rate: 97.68%
	class: 3, rate: 96.71%
	class: 4, rate: 97.40%
	class: 5, rate: 97.44%
	class: 6, rate: 98.38%
	class: 7, rate: 98.04%
	class: 8, rate: 97.13%
	class: 9, rate: 96.17%
(test) loss: 1.0268, accuracy: 97.00%
	class: 0, rate: 98.57%
	class: 1, rate: 99.30%
	class: 2, rate: 98.06%
	class: 3, rate: 97.23%
	class: 4, rate: 97.25%
	class: 5, rate: 90.92%
	class: 6, rate: 97.81%
	class: 7, rate: 97.86%
	class: 8, rate: 96.82%
	class: 9, rate: 95.24%
[progress] epoch: 26
(train) loss: 4.6855, accuracy: 97.66%
	class: 0, rate: 99.00%
	class: 1, rate: 98.38%
	class: 2, rate: 97.57%
	class: 3, rate: 96.64%
	class: 4, rate: 97.48%
	class: 5, rate: 97.49%
	class: 6, rate: 98.34%
	class: 7, rate: 98.10%
	class: 8, rate: 97.01%
	class: 9, rate: 96.44%
(test) loss: 0.9432, accuracy: 97.18%
	class: 0, rate: 98.78%
	class: 1, rate: 99.38%
	class: 2, rate: 97.58%
	class: 3, rate: 97.43%
	class: 4, rate: 97.35%
	class: 5, rate: 94.62%
	class: 6, rate: 95.93%
	class: 7, rate: 97.76%
	class: 8, rate: 95.48%
	class: 9, rate: 96.83%
[progress] epoch: 27
(train) loss: 4.5902, accuracy: 97.68%
	class: 0, rate: 98.90%
	class: 1, rate: 98.71%
	class: 2, rate: 97.57%
	class: 3, rate: 96.90%
	class: 4, rate: 97.35%
	class: 5, rate: 97.29%
	class: 6, rate: 98.60%
	class: 7, rate: 97.92%
	class: 8, rate: 97.21%
	class: 9, rate: 96.20%
(test) loss: 0.9349, accuracy: 97.12%
	class: 0, rate: 98.98%
	class: 1, rate: 98.77%
	class: 2, rate: 96.71%
	class: 3, rate: 96.63%
	class: 4, rate: 97.86%
	class: 5, rate: 96.64%
	class: 6, rate: 96.45%
